episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,2,48,48,False,0,1,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-37,1629101917,0.42836427688598633,0.42836427688598633,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,0.42836427688598633,0,1,8cf43_00000,[],[],43.602,1100.871,381.142,125.937,1.049,48,48,48,17.9,56.8,0.0,0.5,5.0000000000000016e-05,3.354593789577484,-0.0009791292250156403,3.3689742902914683,4.9759696e-05,0.005273948826652486,1.603836045662562,0.010000000000000002
nan,nan,nan,nan,0,2,96,96,False,0,2,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-37,1629101917,0.39875245094299316,0.8271167278289795,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,0.8271167278289795,0,2,8cf43_00000,[],[],32.294,1486.349,377.297,127.221,1.265,96,96,96,8.1,56.9,0.0,0.5,5.0000000000000016e-05,2.026001383860906,0.0007833585763971011,2.040827728311221,-0.005383434,0.0008060417989862974,1.6012761473655701,0.010000000000000002
nan,nan,nan,nan,0,2,144,144,False,0,3,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-38,1629101918,0.41322898864746094,1.2403457164764404,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,1.2403457164764404,0,3,8cf43_00000,[],[],29.013,1654.444,380.209,126.246,1.202,144,144,144,,,0.0,0.25,5.0000000000000016e-05,1.4578244467576345,-0.0006634306783477466,1.4739674026767413,0.025092889,0.0023238848261826206,1.606049019098282,0.010000000000000002
nan,nan,nan,nan,0,2,192,192,False,0,4,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-38,1629101918,0.39890575408935547,1.639251470565796,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,1.639251470565796,0,4,8cf43_00000,[],[],26.965,1780.109,378.733,126.738,1.176,192,192,192,8.1,56.9,0.0,0.125,5.0000000000000016e-05,0.4350957212348779,-0.001320722388724486,0.45237834950288136,-0.052186497,0.0005716398462666916,1.6033359070618947,0.010000000000000002
nan,nan,nan,nan,0,2,240,240,False,0,5,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-39,1629101919,0.3997488021850586,2.0390002727508545,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,2.0390002727508545,0,5,8cf43_00000,[],[],25.854,1856.613,377.801,127.051,1.219,240,240,240,,,0.0,0.0625,5.0000000000000016e-05,0.3646755556265513,-0.0032282212749123575,0.38374121704449254,-0.38041463,0.0018836287026003855,1.5955158611138662,0.010000000000000002
nan,nan,nan,nan,0,2,288,288,False,0,6,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-39,1629101919,0.41371798515319824,2.4527182579040527,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,2.4527182579040527,0,6,8cf43_00000,[],[],25.115,1911.19,379.612,126.445,1.201,288,288,288,8.0,56.9,0.0,0.03125,5.0000000000000016e-05,0.20658394377678632,-0.001710998887817065,0.22421674144764742,-0.11763532,0.001684948522921396,1.5974454243977865,0.010000000000000002
nan,nan,nan,nan,0,2,336,336,False,0,7,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-39,1629101919,0.43094682693481445,2.883665084838867,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,2.883665084838867,0,7,8cf43_00000,[],[],24.722,1941.56,383.219,125.255,1.197,336,336,336,10.7,56.9,0.0,0.015625,5.0000000000000016e-05,0.2733317628502846,0.0002898858239253362,0.2890619534999132,-0.020121817,0.00044849594511125654,1.6027086893717448,0.010000000000000002
nan,nan,nan,nan,0,2,384,384,False,0,8,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-40,1629101920,0.4204878807067871,3.3041529655456543,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,3.3041529655456543,0,8,8cf43_00000,[],[],24.348,1971.409,384.704,124.771,1.179,384,384,384,,,0.0,0.0078125,5.0000000000000016e-05,0.37034212201833727,-0.0011453258494536081,0.38746948800981046,-0.04784061,0.0011191747628470639,1.5990785777568817,0.010000000000000002
nan,nan,nan,nan,0,2,432,432,False,0,9,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-40,1629101920,0.4115116596221924,3.7156646251678467,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,3.7156646251678467,0,9,8cf43_00000,[],[],24.153,1987.351,384.776,124.748,1.165,432,432,432,8.6,56.9,0.0,0.00390625,5.0000000000000016e-05,0.1793360116270681,-0.0032552544958889484,0.19858933923145136,-0.031479422,0.0010006412354740017,1.6001976529757183,0.010000000000000002
nan,nan,nan,nan,0,2,480,480,False,0,10,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-41,1629101921,0.428816556930542,4.144481182098389,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,4.144481182098389,0,10,8cf43_00000,[],[],23.88,2010.046,386.675,124.135,1.157,480,480,480,,,0.0,0.001953125,5.0000000000000016e-05,0.0807962068511794,3.203127610807617e-05,0.09683649788300196,-0.03707587,0.000218727671781771,1.6072750747203828,0.010000000000000002
nan,nan,nan,nan,0,2,528,528,False,0,11,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-41,1629101921,0.42072200775146484,4.5652031898498535,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,4.5652031898498535,0,11,8cf43_00000,[],[],21.68,2213.99,388.095,123.681,1.162,528,528,528,8.4,57.0,0.0,0.0009765625,5.0000000000000016e-05,0.11593735342224439,-0.0014438634738326074,0.1334503469367822,0.09335928,0.00023629788006225284,1.6069365799427033,0.010000000000000002
nan,nan,nan,nan,0,2,576,576,False,0,12,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-42,1629101922,0.4455137252807617,5.010716915130615,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,5.010716915130615,0,12,8cf43_00000,[],[],21.757,2206.231,392.025,122.441,1.118,576,576,576,8.6,57.0,0.0,0.00048828125,5.0000000000000016e-05,0.12365151923149824,-0.0004590547333161036,0.1401445374513666,0.13979146,0.0006438797515632958,1.6034274021784465,0.010000000000000002
nan,nan,nan,nan,0,2,624,624,False,0,13,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-42,1629101922,0.4518001079559326,5.462517023086548,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,5.462517023086548,0,13,8cf43_00000,[],[],21.669,2215.113,395.961,121.224,1.119,624,624,624,,,0.0,0.000244140625,5.0000000000000016e-05,0.1029793038032949,-0.0006733022009332974,0.11965536549687386,0.26971862,0.0004647529314321256,1.600287026166916,0.010000000000000002
nan,nan,nan,nan,0,2,672,672,False,0,14,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-43,1629101923,0.495361328125,5.957878351211548,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,5.957878351211548,0,14,8cf43_00000,[],[],22.329,2149.643,404.94,118.536,1.118,672,672,672,8.1,57.0,0.0,0.0001220703125,5.0000000000000016e-05,0.0695041975316902,-0.0016828012963136037,0.08716426345830162,0.51901215,0.0004078085766605103,1.5977307657400768,0.010000000000000002
nan,nan,nan,nan,0,2,720,720,False,0,15,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-43,1629101923,0.47565698623657227,6.43353533744812,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,6.43353533744812,0,15,8cf43_00000,[],[],22.393,2143.561,412.541,116.352,1.087,720,720,720,8.6,57.0,0.0,6.103515625e-05,5.0000000000000016e-05,0.20256294906139374,0.0004608983794848124,0.21816671428581078,0.07799759,0.00022944198458390018,1.6064674317836762,0.010000000000000002
nan,nan,nan,nan,0,2,768,768,False,0,16,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-43,1629101923,0.4749433994293213,6.908478736877441,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,6.908478736877441,0,16,8cf43_00000,[],[],22.448,2138.268,418.582,114.673,1.083,768,768,768,,,0.0,3.0517578125e-05,5.0000000000000016e-05,0.19251447121302287,0.0008305569489796956,0.20776018276810646,0.46329987,8.750478086767543e-05,1.6076265017191569,0.010000000000000002
nan,nan,nan,nan,0,2,816,816,False,0,17,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-44,1629101924,0.4661881923675537,7.374666929244995,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,7.374666929244995,0,17,8cf43_00000,[],[],22.406,2142.276,422.124,113.711,1.083,816,816,816,9.5,57.0,0.0,1.52587890625e-05,5.0000000000000016e-05,0.20994660866757234,-0.0008431823303302129,0.22686207393805186,0.56426203,0.00010480739931608695,1.607228704293569,0.010000000000000002
nan,nan,nan,nan,0,2,864,864,False,0,18,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-44,1629101924,0.4721672534942627,7.846834182739258,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,7.846834182739258,0,18,8cf43_00000,[],[],22.394,2143.431,427.301,112.333,1.085,864,864,864,8.1,57.0,0.0,7.62939453125e-06,5.0000000000000016e-05,0.15343080119540295,0.00018389765173196793,0.16930923356364172,0.14725049,0.00012178120553323346,1.6062336444854737,0.010000000000000002
nan,nan,nan,nan,0,2,912,912,False,0,19,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-45,1629101925,0.4662282466888428,8.3130624294281,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,8.3130624294281,0,19,8cf43_00000,[],[],22.337,2148.935,432.826,110.899,1.084,912,912,912,9.2,57.1,0.0,3.814697265625e-06,5.0000000000000016e-05,0.07851450523982445,0.0003095375994841258,0.09425516581783693,0.44803387,0.00022013932221106222,1.6050196727116903,0.010000000000000002
nan,nan,nan,nan,0,2,960,960,False,0,20,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-45,1629101925,0.4949793815612793,8.80804181098938,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,8.80804181098938,0,20,8cf43_00000,[],[],22.385,2144.269,439.334,109.256,1.112,960,960,960,,,0.0,1.9073486328125e-06,5.0000000000000016e-05,0.09503232054412365,0.00019116544475158057,0.110888916409264,0.5701076,1.554733053564424e-05,1.6047756870587666,0.010000000000000002
nan,nan,nan,nan,0,2,1008,1008,False,0,21,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-46,1629101926,0.46144652366638184,9.269488334655762,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,9.269488334655762,0,21,8cf43_00000,[],[],22.597,2124.218,443.202,108.303,1.113,1008,1008,1008,10.1,57.1,0.0,9.5367431640625e-07,5.0000000000000016e-05,0.05982895114769538,-0.0029257360845804216,0.07871310294916233,0.694276,0.003500825898447661,1.595842081308365,0.010000000000000002
nan,nan,nan,nan,0,2,1056,1056,False,0,22,cbf1146b5dcc4b4aa828a8ecc4b5ecdd,2021-08-16_16-18-46,1629101926,0.45542240142822266,9.724910736083984,18177,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,9.724910736083984,0,22,8cf43_00000,[],[],22.591,2124.701,444.919,107.885,1.121,1056,1056,1056,7.6,57.1,0.0,4.76837158203125e-07,5.0000000000000016e-05,0.1131528213309745,-0.004451519375046094,0.1335164986550808,0.5127798,0.004751974424713505,1.5912160317103068,0.010000000000000002
